========================================================
                 STATISTICAL SUMMARY                    
========================================================

--- Descriptive Statistics ---
                      price  freight_value  review_score  delivery_days  approx_profit_margin
Mean               120.6537        19.9903        4.0331        12.0077                0.6791
Median              74.9900        16.2600        5.0000        10.0000                0.7686
Mode                59.9000        15.1000        5.0000         7.0000                0.7050
Variance         33721.4195       249.8425        1.9213        89.3300                0.1224
Std Deviation      183.6339        15.8064        1.3861         9.4515                0.3499
Q1 (25th)           39.9000        13.0800        4.0000         6.0000                0.6070
Q2 (50th)           74.9900        16.2600        5.0000        10.0000                0.7686
Q3 (75th)          134.9000        21.1500        5.0000        15.0000                0.8660
IQR                 95.0000         8.0700        1.0000         9.0000                0.2590
90th Percentile    229.8000        34.0410        5.0000        22.0000                0.9213
95th Percentile    349.9000        45.1200        5.0000        29.0000                0.9465


--- Correlation Matrix (All Numeric Columns) ---
                            order_item_id   price  freight_value  customer_zip_code_prefix  product_name_lenght  product_description_lenght  product_photos_qty  product_weight_g  product_length_cm  product_height_cm  product_width_cm  seller_zip_code_prefix  total_payment_value  review_score    year   month  delivery_days  delivery_delay  revenue  approx_cost  approx_profit  approx_profit_margin  order_month  order_quarter  order_year
year                               0.0004      -0.2589         0.2656             -5.550868e+02               0.1111                1.280350e+01             -0.0055     -4.695310e+01            -0.4233            -0.1976           -0.3453           -1.695935e+02              -0.0653       -0.0053    0.2548    -0.9035        -0.2447          0.3256      -0.2589       0.2656        -0.5245               -0.0012      -0.9035        -0.2852      0.2548
month                             -0.0020       1.1036         0.2188             -6.035193e+02               0.4118               -3.300170e+01              0.0619     -1.185248e+02            -0.2131             0.5410            0.1418           -1.196945e+03               4.6657        0.1396   -0.9035    10.4493        -1.7311          0.9007       1.1036       0.2188         0.8848                0.0129      10.4493         3.3304     -0.9035
delivery_days                     -0.1051     107.3248        31.8452              7.706665e+04              -0.3030                3.246680e+01             -0.4353      3.027534e+03            10.4710             8.4754            4.3416            1.263671e+04             161.5715       -3.8442   -0.2447    -1.7311        89.3300         57.3591     107.3248      31.8452        75.4796               -0.2192      -1.7311        -0.6976     -0.2447
delivery_delay                    -0.1978      -6.6608        -6.4185             -2.250405e+04               1.1575                4.279900e+01              0.0913      4.391824e+02             1.6918            -0.1992            0.1382           -3.282366e+04             -57.3251       -3.1143    0.3256     0.9007        57.3591        103.2288      -6.6608      -6.4185        -0.2423                0.1010       0.9007         0.2273      0.3256
revenue                           -7.8367   33721.4195      1202.2662              2.329065e+05              31.2628                2.370352e+04             16.3706      2.333327e+05           432.3633           551.7974          370.6403            4.379173e+05           38141.5864       -1.0323   -0.2589     1.1036       107.3248         -6.6608   33721.4195    1202.2662     32519.1533               18.7232       1.1036         0.4149     -0.2589
approx_cost                       -0.3275    1202.2662       249.8425              1.065426e+05               3.7497                9.695372e+02              0.6070      3.619990e+04            78.9236            83.2670           59.9190            6.551813e+04            1666.6761       -0.7966    0.2656     0.2188        31.8452         -6.4185    1202.2662     249.8425       952.4238               -0.4894       0.2188         0.0658      0.2656
approx_profit                     -7.5092   32519.1533       952.4238              1.263638e+05              27.5131                2.273398e+04             15.7637      1.971328e+05           353.4397           468.5304          310.7213            3.723991e+05           36474.9103       -0.2357   -0.5245     0.8848        75.4796         -0.2423   32519.1533     952.4238     31566.7295               19.2126       0.8848         0.3491     -0.5245
approx_profit_margin              -0.0288      18.7232        -0.4894             -1.271273e+03               0.2003                2.787660e+01              0.0317      1.366159e+02             0.5440             0.5035            0.4737            1.582451e+02              19.7015        0.0181   -0.0012     0.0129        -0.2192          0.1010      18.7232      -0.4894        19.2126                0.1224       0.0129         0.0042     -0.0012
order_month                       -0.0020       1.1036         0.2188             -6.035193e+02               0.4118               -3.300170e+01              0.0619     -1.185248e+02            -0.2131             0.5410            0.1418           -1.196945e+03               4.6657        0.1396   -0.9035    10.4493        -1.7311          0.9007       1.1036       0.2188         0.8848                0.0129      10.4493         3.3304     -0.9035
order_quarter                      0.0019       0.4149         0.0658             -1.627830e+02               0.1502               -1.078870e+01              0.0248     -3.473440e+01            -0.0303             0.1852            0.0595           -3.502510e+02               1.8042        0.0546   -0.2852     3.3304        -0.6976          0.2273       0.4149       0.0658         0.3491                0.0042       3.3304         1.1283     -0.2852
order_year                         0.0004      -0.2589         0.2656             -5.550868e+02               0.1111                1.280350e+01             -0.0055     -4.695310e+01            -0.4233            -0.1976           -0.3453           -1.695935e+02              -0.0653       -0.0053    0.2548    -0.9035        -0.2447          0.3256      -0.2589       0.2656        -0.5245               -0.0012      -0.9035        -0.2852      0.2548

